shipment_id,origin_zip,dest_zip,weight_lbs,status,freight_class,base_rate_per_mile_cwt,fuel_surcharge_percent,accessorial_charges,driver_id,vendor_id,created_at,last_updated_timestamp,skid_details,is_stackable,is_urgent,delivery_appointment,origin_country,dest_country,Quote,skid_dims
SHP13386,85238,85335,1500.0,return,92,0.1,20.0,35.0,,,2025-07-07T22:25:39.399707,2025-07-08T00:02:10.333419,,True,True,True,US,US,$4228,100x43x52
SHP94167,85288,285347,1500.0,pending,92,0.1,20.0,35.0,,,2025-07-07T22:36:30.620534,2026-03-03T07:49:17.224582,,False,False,False,US,US,$1207,22x40x45
SHP29472,85335,85288,2000.0,pending,92,0.1,20.0,35.0,,,2025-07-07T23:17:46.104613,2025-07-07T23:31:26.337030,,False,False,False,US,US,$1282,97x7x42
SHP31361,85288,85281,250.0,pending,92,0.1,20.0,35.0,,,2025-07-08T11:46:17.774628,2025-09-13T02:26:14.520195,,False,True,True,US,US,$3173,12x52x18
SHP91003,85011,L5R1S3,660.0,InTransit,70,0.1,20.0,35.0,,,2025-07-08T12:10:02.511214,2025-07-08T12:10:02.511214,,False,True,True,US,CA,$1848,65x61x55
SHP38452,85288,85335,1653.0,pending,150,0.1,20.0,35.0,,,2025-07-08T12:54:54.091661,2025-07-08T12:54:54.091661,,True,True,True,US,US,$1778,68x67x49
SHP31391,85288,85335,2205.0,pending,150,0.1,20.0,35.0,,,2025-07-08T12:55:33.596179,2025-07-08T12:56:31.819757,,True,True,True,US,US,$2093,21x1x70
SHP29871,85083,L5R1S3,5291.0,pending,125,0.1,20.0,35.0,,,2025-07-08T16:41:52.604414,2025-07-08T16:41:52.604414,,True,False,True,US,CA,$4658,48x22x9
SHP38156,85288,30033,1653.0,pending,125,0.1,20.0,35.0,,,2025-07-08T19:38:21.154139,2025-07-08T19:38:21.154139,,True,False,False,US,US,$1652,70x27x65
SHP12806,30033,85288,551.0,pending,50,0.1,20.0,35.0,,,2025-07-08T20:37:04.962942,2025-07-08T20:37:04.962942,,True,True,False,US,US,$4599,87x83x43
SHP70731,85641,85288,300.0,pending,150,0.1,20.0,35.0,,,2025-07-08T20:41:46.069456,2025-07-08T20:41:46.069456,,True,True,True,US,US,$3986,93x94x82
SHP74194,30301,85001,5000.0,pending,50,0.1,20.0,35.0,,,2025-07-08T20:50:19.293966,2025-07-08T20:50:19.293966,,False,True,False,US,US,$318,28x34x55
SHP23060,85224,85023,40.0,pending,125,0.1,20.0,35.0,,,2025-07-09T11:23:01.080547,2025-08-14T19:16:38.979827,,True,False,False,US,US,$2459,100x58x83
SHP63259,85288,84285,2646.0,pending,150,0.1,20.0,35.0,,,2025-07-09T12:11:18.629597,2025-07-09T12:11:18.629597,,True,False,False,US,US,$1864,88x75x28
SHP92174,85001,L4T1G7,2500.0,pending,125,0.1,20.0,35.0,,,2025-07-09T14:06:47.587260,2025-07-09T14:08:06.353011,,True,True,False,US,CA,$4590,15x26x13
SHP38093,10001,85001,66.0,pending,50,0.1,20.0,35.0,,,2025-07-09T14:49:54.895820,2025-07-09T14:49:54.895820,,True,True,False,US,US,$2079,77x46x65
SHP36298,H1A0A0,L5R1S3,11023.0,pending,125,0.1,20.0,35.0,,,2025-07-09T17:48:09.516205,2025-07-09T17:48:09.516205,,True,False,False,CA,CA,$1555,60x27x25
SHP60990,L1V 1E1,L4T 1G7,60.0,pending,120,0.1,20.0,35.0,,,2025-07-09T18:10:55.103492,2025-07-09T18:10:55.103492,,True,True,True,CA,CA,$3972,34x20x76
SHP85562,J8P1Z9,30024,45.0,pending,125,0.1,20.0,35.0,,,2025-07-09T18:30:18.285220,2025-07-09T18:30:18.285220,,True,True,False,CA,US,$4812,53x27x100
SHP70806,H3A 1A1,V8W 1P6,176.0,pending,70,0.1,20.0,35.0,,,2025-07-09T18:45:53.951992,2025-07-09T19:37:40.916869,,True,False,True,US,US,$15,50x42x63
SHP55120,60601,85001,176.0,pending,70,0.1,20.0,35.0,,,2025-07-09T18:46:05.551048,2025-07-09T18:46:05.551048,,True,False,False,US,US,$4435,71x73x56
SHP64715,30301,85001,23.0,pending,125,0.1,20.0,35.0,,,2025-07-09T19:18:23.814264,2025-07-09T19:18:23.814264,,True,False,False,US,US,$2126,5x57x13
SHP50038,H1A 0A1,V5K 0A1,23.0,pending,125,0.1,20.0,35.0,,,2025-07-09T19:20:51.471530,2025-07-09T19:20:51.471530,,True,False,False,CA,CA,$832,24x16x47
SHP64047,V8P 1A1,85288,200.0,pending,55,0.1,20.0,35.0,,,2025-07-09T20:51:05.991489,2025-07-09T20:51:05.991489,,True,True,True,Canada,USA,$2901,80x13x44
SHP35384,L0P1E0,B3H0A5,300.0,pending,125,0.1,20.0,35.0,,,2025-07-09T20:59:22.221156,2025-07-09T20:59:22.221156,,False,True,True,Canada,Canada,$895,83x32x93
SHP68082,H1A0A4,B3H0A5,44.0,pending,125,0.1,20.0,35.0,,,2025-07-09T22:33:39.549542,2025-07-09T22:33:39.549542,,True,True,False,Canada,Canada,$1740,78x21x51
SHP50896,B3H 0A5,85288,200.0,pending,125,0.1,20.0,35.0,,,2025-07-09T22:56:33.125883,2025-07-09T22:58:12.001915,,True,True,False,Canada,USA,$1001,67x82x9
SHP97930,B3H0B3,H1A0B2,725.0,pending,60,0.1,20.0,35.0,,,2025-07-09T23:14:08.652765,2025-07-09T23:14:08.652765,,True,False,False,Canada,Canada,$2991,81x75x46
SHP45342,H1A0A9,B3H0B7,200.0,pending,125,0.1,20.0,35.0,,,2025-07-09T23:47:00.692682,2025-07-11T16:19:45.072400,,False,False,False,Canada,Canada,,
SHP19523,85288,30033,1102.0,pending,150,0.1,20.0,35.0,,,2025-07-10T00:41:42.835642,2025-07-10T00:41:42.835642,,True,True,True,USA,USA,$1426,16x23x8
SHP73445,85288,L4T0A2,661.0,pending,125,0.1,20.0,35.0,,,2025-07-10T11:24:00.158956,2025-07-10T11:24:00.158956,,True,False,False,USA,Canada,$4707,70x24x54
SHP48652,85001,L5R1S3,200.0,pending,125,0.1,20.0,35.0,,,2025-07-10T11:45:42.769596,2025-07-11T16:33:35.439643,,True,True,False,USA,Canada,$2216,47x75x30
SHP16731,L5R1S3,85288,200.0,pending,125,0.1,20.0,35.0,,,2025-07-11T17:25:22.939278,2025-07-11T17:25:22.939278,,True,False,False,Canada,USA,$640.27,20x30x40
SHP76424,85283,85288,4409.0,pending,125,0.1,20.0,35.0,,,2025-07-11T17:55:53.476509,2025-07-11T17:55:53.476509,,True,False,False,US,US,$97.06,30x20x40 inches
SHP87203,85001,L4T0A1,1000.0,pending,125,0.1,20.0,35.0,,,2025-07-13T22:52:56.047234,2025-07-13T22:54:18.288812,,True,False,False,US,CA,$3072.38,60x50x90
SHP37785,85001,L4N1G7,1000.0,pending,55,0.1,20.0,35.0,,,2025-07-13T23:18:41.657805,2025-07-13T23:18:41.657805,,False,False,False,USA,Canada,,unknown
SHP12501,85001,L4N1G7,150.0,pending,125,0.1,20.0,35.0,,,2025-07-13T23:20:08.560525,2025-07-13T23:20:08.560525,,False,False,False,USA,Canada,,unknown
